央视,#genre#
浙江卫视,http://39.136.35.159:8006/050000001888/5000000188800000076/index.m3u8
重庆卫视,http://39.136.35.159:8006/050000001888/5000000188800000082/index.m3u8
河南卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000085/index.m3u8
河北卫视,http://39.136.35.159:8006/050000001888/5000000188800000086/index.m3u8
海南卫视,http://39.136.35.159:8006/050000001888/5000000188800000087/index.m3u8
东南卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000088/index.m3u8
四川卫视,http://39.136.35.159:8006/050000001888/5000000188800000089/index.m3u8
贵州卫视,http://39.136.35.159:8006/050000001888/5000000188800000090/index.m3u8
内蒙古卫视,http://39.136.35.159:8006/050000001888/5000000188800000094/index.m3u8
吉林卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000098/index.m3u8
吉林卫视,http://39.136.35.159:8006/050000001888/5000000188800000099/index.m3u8
广西卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000102/index.m3u8
内蒙古卫视,http://39.136.35.159:8006/050000001888/5000000188800000191/index.m3u8
广东卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000208/index.m3u8
延边卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000209/index.m3u8
兵团卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000210/index.m3u8
四川康巴卫视,http://39.136.35.159:8006/050000001888/5000000188800000211/index.m3u8
三沙卫视,http://39.136.35.159:8006/050000001888/5000000188800000214/index.m3u8
甘肃卫视,http://39.136.35.159:8006/050000001888/5000000188800000215/index.m3u8
云南卫视标清,http://39.136.35.159:8006/050000001888/5000000188800000216/index.m3u8


本地频道,#genre#
通辽新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000124/index.m3u8
通辽经济服务,http://39.136.35.159:8006/050000001888/5000000188800000125/index.m3u8
通辽蒙语,http://39.136.35.159:8006/050000001888/5000000188800000127/index.m3u8
乌海新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000128/index.m3u8
乌海都市生活,http://39.136.35.159:8006/050000001888/5000000188800000129/index.m3u8
包头新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000130/index.m3u8
包头生活服务,http://39.136.35.159:8006/050000001888/5000000188800000131/index.m3u8
包头经济,http://39.136.35.159:8006/050000001888/5000000188800000132/index.m3u8
咸阳市新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000133/index.m3u8
地方台新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000136/index.m3u8
巴彦淖尔新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000138/index.m3u8
巴彦淖尔经济生活,http://39.136.35.159:8006/050000001888/5000000188800000139/index.m3u8
巴彦淖尔影视娱乐,http://39.136.35.159:8006/050000001888/5000000188800000140/index.m3u8
科尔沁新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000141/index.m3u8
科尔沁城市服务,http://39.136.35.159:8006/050000001888/5000000188800000142/index.m3u8
科尔沁蒙语,http://39.136.35.159:8006/050000001888/5000000188800000143/index.m3u8
赤峰新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000144/index.m3u8
赤峰经济生活,http://39.136.35.159:8006/050000001888/5000000188800000145/index.m3u8
赤峰影视娱乐,http://39.136.35.159:8006/050000001888/5000000188800000146/index.m3u8
锡林郭勒盟XMTV-1,http://39.136.35.159:8006/050000001888/5000000188800000147/index.m3u8
锡林郭勒盟XMTV-2,http://39.136.35.159:8006/050000001888/5000000188800000148/index.m3u8
兴安盟新闻综合-1,http://39.136.35.159:8006/050000001888/5000000188800000149/index.m3u8
兴安盟文化旅游-2,http://39.136.35.159:8006/050000001888/5000000188800000150/index.m3u8
兴安盟影视娱乐-3,http://39.136.35.159:8006/050000001888/5000000188800000151/index.m3u8
呼伦贝尔新闻综合,http://39.136.35.159:8006/050000001888/5000000188800000152/index.m3u8
