央视,#genre#
广东卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226458/10000100000000060000000000871726_0.smil
广东卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000445/1.m3u8
贵州卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226466/10000100000000060000000000873021_0.smil
贵州卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000577/1.m3u8
辽宁卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226468/10000100000000060000000000871728_0.smil
辽宁卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000472/1.m3u8
山东卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226455/10000100000000060000000000873014_0.smil
山东卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000470/1.m3u8
山西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000099/1.m3u8
吉林卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226733/454789104.smil
吉林卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000619/1.m3u8
安徽卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226480/10000100000000060000000000873020_0.smil
安徽卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000473/1.m3u8
东南卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226457/10000100000000060000000000873026_0.smil
东南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000588/1.m3u8
河北卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226464/10000100000000060000000000871729_0.smil
河北卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000575/1.m3u8
天津卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226459/10000100000000060000000000873019_0.smil
天津卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000266/1.m3u8
四川卫视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000395/1.m3u8
深圳卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226476/10000100000000060000000000873016_0.smil
深圳卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000197/1.m3u8
重庆卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226715/454789108.smil
重庆卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000609/1.m3u8
河南卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000001813/1.m3u8
江西卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226711/454789112.smil
江西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000608/1.m3u8
陕西卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000090/1.m3u8
海南卫视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000686/1.m3u8
甘肃卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226707/454789116.smil
甘肃卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000603/1.m3u8
黑龙江卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226488/10000100000000060000000000873017_0.smil
黑龙江卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000196/1.m3u8
内蒙古卫视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000028/1.m3u8
青海卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000096/1.m3u8
西藏卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000100/1.m3u8
新疆卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000097/1.m3u8
兵团卫视,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000462/1.m3u8



卫视4K,#genre#
浙江卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226743/527371997.smil
东方卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226770/527371993.smil
江苏卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226761/527371567.smil
湖南卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226766/527371999.smil
北京卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226792/514021991.smil
北京卫视4K,rtsp://10.13.37.108:554/PLTV/88888912/224/3221226792/514021991.smil
四川卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226774/527563930.smil
山东卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226796/527563879.smil
广东卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226723/520196039.smil
广东卫视4K,rtsp://10.13.37.108:554/PLTV/88888912/224/3221226723/520196039.smil
深圳卫视4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226762/520196043.smil
深圳卫视4K,rtsp://10.13.37.108:554/PLTV/88888912/224/3221226762/520196043.smil



本地频道,#genre#
内蒙古经济生活高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226113/10000100000000060000000000784886_0.smil
内蒙古经济生活高清,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000640/1.m3u8
内蒙古文体娱乐高清,rtsp://10.11.43.21/PLTV/88888912/224/3221226111/10000100000000060000000000784888_0.smil
内蒙古文体娱乐高清,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000638/1.m3u8
